cable_key,risk_score,max_lp_risk,landing_points,risk_tier
id-south-atlantic-cable-system-sacs,7.771658494295895,7.771658494295895,2,6
id-seychelles-to-east-africa-system-seas,7.646171522106798,7.646171522106798,2,6
id-circe-south,7.644330122356497,7.047899331245228,2,6
id-whidbey-island-hat-island,7.621677880048095,4.110935376016987,2,6
id-e-llan,7.514076204633851,7.514076204633851,2,6
id-lanis-1,7.514076204633851,7.514076204633851,2,6
id-greenland-connect,7.483098072065432,7.483098072065432,4,6
id-danice,7.483098072065432,7.483098072065432,2,6
id-suriname-guyana-submarine-cable-system-sg-scs,7.47412705861659,5.314805529785717,3,6
id-glo-1,7.43983943452102,4.120640074668756,3,6
id-colombian-festoon,7.356709832690038,4.0378632403566685,5,6
id-palawan-iloilo-cable-system,7.346413545337829,7.346413545337829,2,6
id-lazaro-cardenas-manzanillo-santiago-submarine-cable-system-lcmsscs,7.186584395016707,5.491644819340034,3,6
id-iris,7.113500858428769,7.113500858428769,2,6
id-cadmos-2,7.057999996014614,4.694617606755734,2,6
id-ixchel,6.99581216464972,4.056145468586705,2,6
id-georgia-russia,6.986714914505953,5.941218615584184,3,6
id-lower-indian-ocean-network-2-lion2,6.964351518453645,6.881871528978529,2,6
id-javali,6.88278955433336,6.76959826866306,2,6
id-gondwana-1,6.8015954643334355,3.5683579235100753,2,6
id-lumut-pangkor-island,6.733911310842392,3.396874572638297,2,6
id-jambi-batam-cable-system-jiba,6.67265787889311,6.165136415167394,2,6
id-atlantic-crossing-1-ac-1,6.655175986252694,4.455917101252159,4,6
id-tonga-cable,6.5918410262823555,6.5918410262823555,2,6
id-east-west-submarine-cable-system,6.569481629926484,3.4109900319307394,4,6
id-yellow,6.464215288505394,5.779152275594593,2,6
id-grace-hopper,6.464215288505394,5.779152275594593,3,6
id-cam-ring,6.391458783923607,4.594933898686102,3,6
id-topaz,6.308178863753238,2.9760507387329587,4,6
id-bt-mt-1,6.2657762257815195,6.2657762257815195,4,6
id-omranepeg,6.248171397933156,3.749456433236988,5,6
id-batam-dumai-melaka-bdm,6.165086953355407,6.165086953355407,3,6
id-hawk,6.155397255490318,2.469702180100581,3,6
id-italy-croatia,6.114071901227637,5.843468811219025,2,6
id-hawaii-inter-island-cable-system-hics,6.1062908659802595,6.1062908659802595,5,6
id-hawaii-island-fibre-network-hifn,6.1062908659802595,6.1062908659802595,7,6
id-honotua,6.1062908659802595,6.1062908659802595,6,6
id-paniolo-cable-network,6.1062908659802595,6.1062908659802595,7,6
id-san-andres-isla-tolu-submarine-cable-sait,6.08717423719272,3.8274535504893166,2,6
id-pan-european-crossing-uk-belgium,5.785103585314042,5.670471785836626,2,6
id-mercator,5.771109103998415,5.667274507077889,2,5
id-tangerine,5.771109103998415,5.667274507077889,2,5
id-jeju-udo,5.696761191081666,2.94365069621261,2,5
id-izu-islands-cable-system,5.641596486911327,3.1366273084904615,4,5
id-cross-straits-cable-network-cscn,5.629337252160744,1.6479284694425633,4,5
id-qatar-u-a-e-submarine-cable-system,5.621640832264956,5.544909655469345,4,5
id-tata-tgn-western-europe,5.540879793904145,4.809262009603997,3,5
id-vancouver-bowen-island-vancouver-island,5.496994802929208,1.869029059034047,4,5
id-hawaiki,5.467009188378081,3.2332375408233602,6,5
id-skagerrak-4,5.396129134198837,5.396129134198837,2,5
id-geo-eirgrid,5.346735238356807,2.8595887742857804,2,5
id-eclink,5.314805529785717,5.314805529785717,2,5
id-middle-east-north-africa-mena-cable-systemgulf-bridge-international,5.302759810935262,3.893569388486645,5,5
id-mauritius-and-rodrigues-submarine-cable-system-mars,5.2873610100688975,5.2873610100688975,2,5
id-atlas-offshore,5.272459102790899,3.4102875672999513,2,5
id-caucasus-cable-system,5.199305553775753,5.173367239316666,2,5
id-hokkaido-sakhalin-cable-system-hscs,5.196008321923695,5.196008321923695,2,5
id-umoja,5.0723791716716615,5.0723791716716615,2,5
id-japan-guam-australia-north-jga-n,5.015229705272315,5.015229705272315,2,5
id-unitel-north-submarine-cable-unsc,5.003346110151556,2.2581019203065833,4,5
id-canalink,4.9655987306764455,3.4102875672999513,8,5
id-fehmarn-blt,4.962787611816157,2.615648490261035,2,5
id-cabo-verde-telecom-domestic-submarine-cable-phase-3,4.945661227024824,2.2515275699801323,8,5
id-nelson-levin,4.86119873029595,4.860286302086246,2,5
id-poseidon,4.833084569359461,2.469702180100581,2,5
id-olisipo,4.825615470143983,4.175053799496437,2,5
id-epic-malta-sicily-cable-system-emscs,4.76951753850925,4.76951753850925,2,5
id-italy-malta,4.76951753850925,4.76951753850925,2,5
id-jeju-mainland-2,4.7614005920790055,2.94365069621261,2,5
id-besut-perhentian-islands,4.72722640488815,2.2702904727729747,3,5
id-corse-continent-5-cc5,4.693103234804202,4.693103234804202,2,5
id-vodafone-greece-domestic,4.596323307783798,4.596323307783798,2,5
id-pan-european-crossing-uk-ireland,4.578046892865578,1.8923435648898392,4,5
id-sir-abu-nuayr-cable,4.445834179024958,4.445834179024958,2,5
id-trans-caspian-fiber-optic-cable-project,4.341174299038356,4.341174299038356,2,5
id-japan-guam-australia-south-jga-s,4.314220101575936,3.0605358076042393,3,5
id-bahamas-internet-cable-system-bics,4.275648216177705,4.275648216177705,7,5
id-chuuk-pohnpei-cable,4.211101193640619,4.211101193640619,2,5
id-chi,4.200784374133254,4.200784374133254,2,5
id-boracay-palawan-submarine-cable-system-bpscs,4.188543640444168,3.514542018961076,5,5
id-columbus-iii-azores-portugal,4.175053799496437,4.175053799496437,2,5
id-polar-express,4.158824943952346,3.1615061828416504,10,5
id-exelera-north,4.103077455955458,2.469702180100581,2,5
id-fibra-optica-al-pacfico,4.058133855448697,4.058133855448697,2,5
id-projeto-amaznia-conectada-pac-01,4.055551262561085,3.292961787211826,6,5
id-saudi-vision,3.893569388486645,3.893569388486645,4,5
id-saudi-arabia-sudan-2-sas-2,3.893569388486645,3.893569388486645,2,5
id-saudi-arabia-sudan-1-sas-1,3.893569388486645,3.893569388486645,2,5
id-smpcs-packet-2,3.816588010225351,2.1451067944403963,11,5
id-damai-cable-system,3.760939257719716,3.651580437724057,3,5
id-celtixconnect-1-cc-1,3.757297250269726,3.757297250269726,2,5
id-pishgaman-oman-iran-poi-network,3.749456433236988,3.749456433236988,3,5
id-whidbey-island-camano-island,3.721829066650315,1.9489981778434022,2,5
id-crosschannel-fibre,3.717165011452399,3.586149453717881,2,5
id-sagres,3.7025760157704672,3.7025760157704672,2,5
id-fos-quellon-chacabuco,3.6866011183813514,3.033350142251065,2,5
id-rompin-tioman-island,3.6694800691309215,3.6694800691309215,2,5
id-sovetskaya-gavan-uglegorsk,3.608343016648838,3.608343016648838,2,5
id-chennai-andaman-nicobar-islands-cable-cani,3.561787464891742,2.01165529604906,9,5
id-emerald-bridge-fibres,3.416904219294089,3.416904219294089,2,5
id-jalapati,3.3141206733583823,2.029730059345904,2,5
id-java-bali-cable-system-jbcs,3.3141206733583823,2.029730059345904,2,5
id-pipe-pacific-cable-1-ppc-1,3.2332375408233602,3.2332375408233602,3,5
id-tasman-global-access-tga-cable,3.1941912932341805,3.1941912932341805,2,5
id-telstra-endeavour,3.150830243881511,3.150830243881511,2,5
id-indigo-central,3.1404662098004854,3.1404662098004854,2,5
id-gulf-of-california-cable,3.136819980142258,1.9954650193759018,2,4
id-bangladesh-private-cable-system-bpcs,3.1351570473509813,3.1351570473509813,1,4
id-australia-connect-interlink,3.070113753263156,3.070113753263156,3,4
id-proa,2.9760507387329587,2.9760507387329587,3,4
id-ugarit,2.9550160256504054,2.3633823892588803,2,4
id-jeju-mainland-3,2.94365069621261,2.94365069621261,2,4
id-fish-south,2.8691154467992597,1.6872092047513414,6,4
id-zeus,2.8237858038954027,2.8237858038954027,2,4
id-concerto,2.8237858038954027,2.8237858038954027,2,4
id-circe-north,2.8237858038954027,2.8237858038954027,2,4
id-ultramar-ge,2.79942751348581,2.79942751348581,2,4
id-manatua,2.788272081003455,2.366229629167839,6,4
id-cyclades-a,2.7245904346895484,2.7245904346895484,5,4
id-norte-conectado-infovia-01,2.6442020619958546,1.5755290909955662,11,4
id-nigeria-cameroon-submarine-cable-system-ncscs,2.634136346941463,2.634136346941463,2,4
id-beaufort,2.6213671562851637,1.9363041433743626,3,4
id-timor-leste-south-submarine-cable-tlssc,2.60143241839458,2.60143241839458,1,4
id-ceiba-1,2.5849475248036438,1.8314982089432554,2,4
id-ceiba-2,2.5849475248036438,1.8314982089432554,3,4
id-romsar-2,2.5257843538771247,2.5257843538771247,4,4
id-arsat-submarine-fiber-optic-cable,2.5152801232004665,1.7865200597369744,2,4
id-globalconnect-3-gc3,2.4755863275523833,1.2961049584487079,2,4
id-aletar,2.415157176290313,1.823523539898788,2,4
id-italy-libya,2.4035958503967567,2.4035958503967567,2,4
id-samoa-american-samoa-sas,2.366229629167839,2.366229629167839,2,4
id-exa-express,2.3554795996947773,1.745433689649869,3,4
id-aec-1,2.3438497347046052,2.3438497347046052,2,4
id-muroran-hachinohe,2.2897535973759946,2.2897535973759946,2,4
id-lake-albert-2,2.266806531708954,1.2171493216236775,2,4
id-cabo-verde-telecom-domestic-submarine-cable-phase-1,2.2515275699801323,2.2515275699801323,5,4
id-labuan-brunei-submarine-cable,2.1822784982576806,2.1822784982576806,2,4
id-cross-sound-cable,2.1774240388665165,2.1774240388665165,2,4
id-x-link-submarine-cable,2.1593215288308727,2.1593215288308727,2,4
id-ulysses-2,2.127818673322033,2.127818673322033,2,4
id-scylla,2.127818673322033,2.127818673322033,2,4
id-lake-albert-1,2.0977516893976222,1.1347053591269116,2,4
id-no-uk,1.9741694542449437,1.9741694542449437,2,4
id-havhingstennorth-sea-connect-nsc,1.9741694542449437,1.9741694542449437,2,4
id-solas,1.9363041433743626,1.9363041433743626,2,4
id-germany-denmark-3,1.838520019095655,1.5184671471122921,2,4
id-taihei,1.8104061058305514,1.8104061058305514,2,4
id-mishima-village,1.7580183368197437,1.716457287988808,4,4
id-biznet-nusantara-cable-system-1-bncs-1,1.714698506047145,0.9233938777754804,4,4
id-patara-2,1.5617538958712243,1.4509704993118295,3,4
id-pencan-8,1.5553111633764942,1.5553111633764942,2,4
id-globalconnect-kpn,1.5519973109482832,1.5184671471122921,2,4
id-elektra-globalconnect-1-gc1,1.5519973109482832,1.5184671471122921,2,4
id-baltica,1.5184671471122921,1.5184671471122921,4,4
id-amitie,1.5046840617036445,0.7436935728146241,3,4
id-uae-iran,1.4908718116044857,1.4908718116044857,2,4
id-turcyos-1,1.474152152765138,1.474152152765138,2,4
id-columbus-ii-b,1.3722709505243091,1.3722709505243091,2,4
id-cabo-verde-telecom-domestic-submarine-cable-phase-2,1.2950069811520306,1.2950069811520306,3,4
id-farland-north,1.2373315313602442,1.2373315313602442,2,4
id-fly-lion3,1.08441891665922,1.0019389271841042,2,4
id-sovetskaya-gavan-ilyinskoye,1.0707908610370829,1.0707908610370829,2,4
id-link-5-phase-2,1.0502854965291573,0.5427640328034412,2,4
id-fish-north,0.9772034819152169,0.5102165652276431,2,4
id-fish-west,0.8097938669010613,0.46698691668757375,4,4
id-energy-bridge-cable,0.7117288653972509,0.43529946000308495,2,4
id-hawaiian-islands-fiber-link-hifl,0.697219615600486,0.697219615600486,6,4
id-kerch-strait-cable,0.6932763874077674,0.43529946000308495,2,4
id-hantru1-cable-system,0.6677745526348232,0.6677745526348232,4,4
id-nuvem,0.6505616706475459,0.6505616706475459,4,4
id-uk-channel-islands-8,0.6188904408402583,0.6188904408402583,2,4
id-kodiak-kenai-fiber-link-kkfl,0.5511149466280147,0.5511149466280147,6,3
id-acs-alaska-oregon-network-akorn,0.5511149466280147,0.5511149466280147,4,3
id-rnne-rdvig,0.5458082116046319,0.5458082116046319,2,3
id-link-4-phase-2,0.5427640328034412,0.5427640328034412,2,3
id-png-lng,0.5369801618837505,0.5369801618837505,2,3
id-trapani-kelibia-2-keltra-2,0.5195649178681947,0.5195649178681947,2,3
id-hannibal-system,0.5195649178681947,0.5195649178681947,2,3
id-didon,0.5195649178681947,0.5195649178681947,2,3
id-northstar,0.5102165652276431,0.5102165652276431,4,3
id-konstanz-friedrichshafen,0.47902446203313287,0.4457936937973098,2,3
id-konstanz-meersburg,0.4457936937973098,0.4457936937973098,2,3
id-libreville-port-gentil-cable,0.401246707540592,0.401246707540592,2,3
id-italy-greece-1-ig-1,0.39671409438243255,0.30492496310729267,2,3
id-shefa-2,0.3280333986285001,0.3280333986285001,7,3
id-galapagos-cable-system,0.31746897804130336,0.31746897804130336,4,3
id-isles-of-scilly-cable,0.30842409144646843,0.30842409144646843,2,3
id-high-capacity-undersea-guernsey-optical-fibre-hugo,0.30842409144646843,0.30842409144646843,4,3
id-mandji-fiber-optic-cable,0.290402018434481,0.15036013105642013,2,3
id-almera-melilla-alme,0.28141141638200656,0.28141141638200656,2,3
id-roquetas-melilla-cam,0.28141141638200656,0.28141141638200656,2,3
id-oteglobe-kokkini-bari,0.2702676661036516,0.2702676661036516,2,3
id-uk-channel-islands-7,0.24408513066696505,0.24408513066696505,2,3
id-channel-islands-9-liberty-submarine-cable,0.2434322308533576,0.2434322308533576,2,3
id-haikou-beihai-cable,0.21704419949333503,0.21704419949333503,2,3
id-sakhalin-kuril-islands-cable,0.13161389211608684,0.13161389211608684,4,3
id-ulleung-mainland-2,0.10393501050477132,0.10393501050477132,2,3
id-fibre-in-gulf-fig,0.0760408246493044,0.05398344289433977,7,3
id-tampnet-north,0.051404217708285314,0.051404217708285314,3,3
id-pasuli,0.0456001872606259,0.0456001872606259,2,3
id-sumatera-bangka-cable-system-sbcs,0.0456001872606259,0.0456001872606259,2,3
id-c-lion1,0.033530163835990986,0.033530163835990986,3,3
id-tenerife-la-palma,0.0,0.0,2,1
id-coral-bridge,0.0,0.0,2,1
id-far-east-submarine-cable-system,0.0,0.0,3,1
id-alaska-united-west-au-west,0.0,0.0,3,1
id-farice-1,0.0,0.0,3,1
id-transcan-3,0.0,0.0,2,1
id-danica-north,0.0,0.0,2,1
id-dalian-yantai-cable,0.0,0.0,2,1
id-daito-loop,0.0,0.0,2,1
id-cyclades-b,0.0,0.0,3,1
id-taba-aqaba,0.0,0.0,2,1
id-tverrlinken,0.0,0.0,4,1
id-bt-highlands-and-islands-submarine-cable-system,0.0,0.0,40,1
id-fibra-optica-austral,0.0,0.0,4,1
id-unisur,0.0,0.0,2,1
id-sweden-latvia,0.0,0.0,3,1
id-vaka,0.0,0.0,1,1
id-terra-sw,0.0,0.0,11,1
id-cogim,0.0,0.0,2,1
id-sweden-estonia-ee-s-1,0.0,0.0,3,1
id-cobracable,0.0,0.0,2,1
id-svalbard-undersea-cable-system,0.0,0.0,2,1
id-vstervik-visby,0.0,0.0,2,1
id-caribbean-bermuda-u-s-cbus,0.0,0.0,2,1
id-sunoque-iii,0.0,0.0,2,1
id-sunoque-ii,0.0,0.0,2,1
id-cantat-3,0.0,0.0,4,1
id-sunoque-i,0.0,0.0,2,1
id-candalta,0.0,0.0,2,1
id-calvi-st-florent,0.0,0.0,2,1
id-alonso-de-ojeda,0.0,0.0,2,1
id-subcan-link-2,0.0,0.0,2,1
id-alaska-united-turnagain-arm-auta,0.0,0.0,2,1
id-transcan-2,0.0,0.0,4,1
id-tampnet-south,0.0,0.0,2,1
id-darwin-jakarta-singapore-cable-djsc,0.0,0.0,1,1
id-tenerife-gran-canaria,0.0,0.0,2,1
id-bosun,0.0,0.0,2,1
id-east-micronesia-cable-system-emcs,0.0,0.0,4,1
id-tegopa,0.0,0.0,3,1
id-botnia,0.0,0.0,2,1
id-bodo-rost-cable,0.0,0.0,2,1
id-tautira-teahupoo,0.0,0.0,2,1
id-e-finest,0.0,0.0,2,1
id-dunant,0.0,0.0,2,1
id-dumai-melaka-cable-system-dmcs,0.0,0.0,2,1
id-eastern-light-sweden-finland-i,0.0,0.0,4,1
id-airraq,0.0,0.0,5,1
id-eastern-light-sweden-finland-ii,0.0,0.0,4,1
id-finland-estonia-2-eesf-2,0.0,0.0,2,1
id-tobrok-emasaed-cable-system,0.0,0.0,2,1
id-eaufon-1,0.0,0.0,5,1
id-tokelau-submarine-cable,0.0,0.0,3,1
id-eaufon-2,0.0,0.0,6,1
id-eaufon-3,0.0,0.0,7,1
id-domestic-submarine-cable-of-maldives-dscom,0.0,0.0,8,1
id-energinet-laeso-varberg,0.0,0.0,2,1
id-tonga-domestic-cable-extension-tdce,0.0,0.0,3,1
id-energinet-lyngsa-laeso,0.0,0.0,2,1
id-dhiraagu-cable-network,0.0,0.0,8,1
id-tarakan-selor-cable-system-tscs,0.0,0.0,2,1
id-eviny-digital,0.0,0.0,3,1
id-denmark-sweden-18,0.0,0.0,2,1
id-tanjung-pandan-sungai-kakap,0.0,0.0,2,1
id-denmark-sweden-17,0.0,0.0,2,1
id-subcan-link-1,0.0,0.0,2,1
id-melita-1,0.0,0.0,2,1
id-sto-hel-one,0.0,0.0,4,1
id-kangaroo-island-2,0.0,0.0,2,1
id-lanis-3,0.0,0.0,2,1
id-lanis-2,0.0,0.0,2,1
id-lake-michigan-crossing-peninsula-and-island-connection,0.0,0.0,3,1
id-oskarshamn-visby,0.0,0.0,2,1
id-aurora,0.0,0.0,12,1
id-la-gomera-el-hierro,0.0,0.0,2,1
id-kingisepp-kaliningrad-system-baltika,0.0,0.0,2,1
id-ketchcan1-submarine-fiber-cable-system,0.0,0.0,2,1
id-kattegat-2,0.0,0.0,4,1
id-au-aleutian,0.0,0.0,14,1
id-jerry-newton,0.0,0.0,2,1
id-st-thomas-st-croix-system,0.0,0.0,7,1
id-pencan-9,0.0,0.0,2,1
id-persona,0.0,0.0,2,1
id-petropavlovsk-kamchatsky---anadyr,0.0,0.0,3,1
id-baltic-sea-submarine-cable,0.0,0.0,3,1
id-bass-strait-1,0.0,0.0,2,1
id-picot-1,0.0,0.0,3,1
id-bass-strait-2,0.0,0.0,2,1
id-basslink,0.0,0.0,2,1
id-atisa,0.0,0.0,4,1
id-polar-circle-cable,0.0,0.0,7,1
id-oman-australia-cable-oac,0.0,0.0,5,1
id-latvia-sweden-1-lv-se-1,0.0,0.0,2,1
id-lic-lin-lamp,0.0,0.0,3,1
id-ogasawara-cable-network,0.0,0.0,3,1
id-azores-fiber-optic-system-afos,0.0,0.0,7,1
id-bahamas-2,0.0,0.0,3,1
id-mariana-guam-cable,0.0,0.0,4,1
id-marea,0.0,0.0,2,1
id-n0r5ke-viking,0.0,0.0,16,1
id-n0r5ke-viking-2,0.0,0.0,16,1
id-nationwide-submarine-cable-ooredoo-maldives-nascom,0.0,0.0,6,1
id-natitua,0.0,0.0,11,1
id-natitua-sud,0.0,0.0,3,1
id-malta-italy-interconnector,0.0,0.0,2,1
id-malta-gozo-cable,0.0,0.0,2,1
id-ningbo-zhoushan-cable,0.0,0.0,2,1
id-nome-to-homer-express-nthe,0.0,0.0,7,1
id-nordbalt,0.0,0.0,2,1
id-norfest,0.0,0.0,10,1
id-norte-conectado-infovia-00,0.0,0.0,5,1
id-lynn-canal-fiber,0.0,0.0,3,1
id-norte-conectado-infovia-03,0.0,0.0,8,1
id-norte-conectado-infovia-04,0.0,0.0,4,1
id-north-west-cable-system,0.0,0.0,3,1
id-northern-lights,0.0,0.0,2,1
id-isle-au-haut-cable,0.0,0.0,2,1
id-projeto-amaznia-conectada-pac-02,0.0,0.0,5,1
id-ingrid,0.0,0.0,4,1
id-apocs-2,0.0,0.0,4,1
id-anjana,0.0,0.0,2,1
id-groote-eylandt,0.0,0.0,2,1
id-segunda-fos-canal-de-chacao,0.0,0.0,2,1
id-groix-4,0.0,0.0,2,1
id-greenland-connect-north,0.0,0.0,4,1
id-minoas-east-and-west,0.0,0.0,2,1
id-go-1-mediterranean-cable-system,0.0,0.0,2,1
id-sirius-north,0.0,0.0,2,1
id-globalconnect-denmark-sweden,0.0,0.0,2,1
id-globalconnect-2-gc2,0.0,0.0,2,1
id-skagenfiber-west,0.0,0.0,2,1
id-gc-lnz-fu-ring,0.0,0.0,6,1
id-flores-corvo-cable-system,0.0,0.0,4,1
id-bicentenario,0.0,0.0,2,1
id-south-atlantic-inter-link-sail,0.0,0.0,2,1
id-amerigo-vespucci,0.0,0.0,2,1
id-americas-i-north,0.0,0.0,2,1
id-finland-estonia-connection-2-fec-2,0.0,0.0,2,1
id-finland-estonia-connection-1-fec-1,0.0,0.0,2,1
id-finland-estonia-3-eesf-3,0.0,0.0,2,1
id-st-pierre-and-miquelon-cable,0.0,0.0,4,1
id-apocs-1,0.0,0.0,2,1
id-sealink-south,0.0,0.0,3,1
id-quintillion-subsea-cable-network,0.0,0.0,6,1
id-sealink,0.0,0.0,3,1
id-r100-north,0.0,0.0,31,1
id-bcs-east,0.0,0.0,2,1
id-red2med,0.0,0.0,4,1
id-iceni,0.0,0.0,2,1
id-bcs-east-west-interlink,0.0,0.0,2,1
id-hronn,0.0,0.0,3,1
id-ruppione-isolella,0.0,0.0,2,1
id-hokkaido-rebun-rishiri,0.0,0.0,3,1
id-saba-statia-cable-system-sscs,0.0,0.0,5,1
id-bcs-north---phase-1,0.0,0.0,5,1
id-havsil,0.0,0.0,2,1
id-sarco,0.0,0.0,2,1
id-bcs-north---phase-2,0.0,0.0,3,1
id-scandinavian-ring-north,0.0,0.0,2,1
id-scandinavian-ring-south,0.0,0.0,2,1
id-scotland-northern-ireland-3,0.0,0.0,2,1
id-scotland-northern-ireland-4,0.0,0.0,2,1
id-arctic-way,0.0,0.0,3,1
id-gulf2africa-g2a,0.0,0.0,3,1
id-sea2shore,0.0,0.0,2,1
id-guernsey-jersey-4,0.0,0.0,2,1
id-silphium,0.0,0.0,2,1
